Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
150	Medium Nougat	E3A05B	Solid	1390	2295	2633	1453	2010	2025
31	Medium Orange	FFA531	Solid	131	114	1003	173	1950	2007
241	Medium Tan	FBC685	Solid	207	132	1297	202	2022	2025
73	Medium Violet	9391E4	Solid	18	23	370	28	1999	2004
166	Neon Green	DBF355	Solid	1	1	332	10		
165	Neon Orange	FA5947	Solid	1	1	364	11		
236	Neon Yellow	FFFC00	Solid	174	149	556	193	2022	2025
28	Nougat	FFAF7D	Solid	419	480	1520	458	1979	2025
173	Ochre Yellow	D89905	Solid	2	1	20	1	2025	2025
155	Olive Green	ABA953	Solid	706	684	2164	741	2012	2025
4	Orange	FF7E14	Solid	2450	4298	4539	2667	1998	2025
23	Pink	F5CDD6	Solid	102	66	1050	222	1992	2005
24	Purple	7A238D	Solid	133	125	1420	275	1997	2006
5	Red	B30006	Solid	8772	11825	13857	9322	1949	2025
88	Reddish Brown	82422A	Solid	2590	5443	4948	2843	1961	2025
167	Reddish Orange	FF5500	Solid	178	176	890	182	2024	2025
56	Rose Pink	F2D3D1	Solid	36	16	504	68	1991	1994
27	Rust	B24817	Solid	5	16	1385	39	1979	2005
25	Salmon	FF7D5D	Solid	83	27	479	91	1997	1999
55	Sand Blue	8899AB	Solid	832	923	2178	884	2001	2025
48	Sand Green	A2BFA3	Solid	800	1059	2130	879	1957	2025
54	Sand Purple	B57DA5	Solid	20	5	503	27	2001	2002
58	Sand Red	C58D80	Solid	39	18	487	43	2001	2004
169	Sienna	EA8339	Solid	37	22	275	28	2024	2025
87	Sky Blue	8AD4E1	Solid	37	34	680	50	2003	2007
2	Tan	EED9A4	Solid	3004	5933	5991	3289	1957	2025
168	Umber	735442	Solid	16	9	270	16	2024	2025
99	Very Light Bluish Gray	E4E8E8	Solid	54	51	1686	102	2004	2013
49	Very Light Gray	E8E8E8	Solid	23	26	1374	62	1997	2004
96	Very Light Orange	FFDCA4	Solid	1	2	484	23	2000	2000
43	Violet	3448A4	Solid	79	41	630	90	1992	2004
172	Warm Yellowish Orange	FFD788	Solid	1	1	24	14	2004	2004
1	White	FFFFFF	Solid	16573	12231	23543	16910	1949	2025
3	Yellow	FFE001	Solid	7240	11489	11261	8264	1949	2025
158	Yellowish Green	E7F2A7	Solid	293	483	694	326	2012	2025
113	Trans-Aqua	B7C8BF	Transparent	39	36	532	59	2003	2006
251	Trans-Black	777777	Transparent	71	89	571	93	2023	2025
108	Trans-Bright Green	10Cb31	Transparent	201	675	749	246	2006	2025
13	Trans-Brown	939484	Transparent	492	1858	1250	556	1999	2025
12	Trans-Clear	EEEEEE	Transparent	1195	5950	3285	1450	1950	2025
14	Trans-Dark Blue	00296B	Transparent	279	1878	1170	344	1978	2025
50	Trans-Dark Pink	CE1d9b	Transparent	273	919	646	300	1999	2025
20	Trans-Green	217625	Transparent	148	1633	695	186	1969	2025
15	Trans-Light Blue	68BCC5	Transparent	932	3517	2042	1072	1985	2025
226	Trans-Light Bright Green	71EB54	Transparent	26	17	227	55	2003	2006
221	Trans-Light Green	94E5AB	Transparent	10	5	205	29	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	39	22	385	88	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	20	248	35	2005	2006
74	Trans-Medium Blue	76A3C8	Transparent	98	203	1001	170	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	37	36	181	45	2003	2006
16	Trans-Neon Green	C0F500	Transparent	229	1144	993	294	1990	2024
18	Trans-Neon Orange	FF4231	Transparent	247	1039	1007	308	1993	2023
121	Trans-Neon Yellow	FFD700	Transparent	28	36	434	78	2001	2006
98	Trans-Orange	E96F01	Transparent	256	2563	840	338	2003	2025
107	Trans-Pink	FF8298	Transparent	68	45	288	92	2003	2006
51	Trans-Purple	5525B7	Transparent	162	479	587	187	2000	2025
17	Trans-Red	9C0010	Transparent	262	4198	1232	330	1969	2025
19	Trans-Yellow	EBF72D	Transparent	250	2883	993	308	1969	2025
57	Chrome Antique Brass	645a4c	Chrome	3	17	491	3	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	974	10	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	299	9	1998	2006
21	Chrome Gold	f1f2e1	Chrome	51	298	1475	60	1989	2025
64	Chrome Green	3CB371	Chrome	1	2	207	4	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	199	4	2001	2007
22	Chrome Silver	DCDCDC	Chrome	104	528	1970	174	1966	2025
237	Bionicle Copper	985750	Pearl	2	1	140	6	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	2	342	9	2002	2002
239	Bionicle Silver	A59287	Pearl	6	2	538	6	2002	2002
84	Copper	AC6D52	Pearl	11	23	683	42	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	48	776	167	2002	2006
95	Flat Silver	8D949C	Pearl	907	3361	3167	1215	2008	2025
244	Pearl Black	282725	Pearl	6	9	999	13	2003	2006
254	Pearl Blue	3977C7	Pearl	4	9	147	7	2003	2009
255	Pearl Brown	815542	Pearl	3	7	127	4	2003	2006
77	Pearl Dark Gray	666660	Pearl	883	1470	2826	949	2000	2025
115	Pearl Gold	E79E1D	Pearl	1323	3048	2924	1464	2004	2025
253	Pearl Green	13A452	Pearl	3	7	129	5	2003	2006
61	Pearl Light Gold	E7AE5A	Pearl	13	7	500	70	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	505	766	1593	653	2000	2011
252	Pearl Red	E54952	Pearl	3	7	137	3	2003	2006
78	Pearl Sand Blue	868FAA	Pearl	44	23	321	48	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl	1	1	28			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	17	463	41	2002	2005
83	Pearl White	FFFFFF	Pearl	3	7	518	14	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	103	23	2017	2020
235	Reddish Gold	E7891B	Pearl	28	30	323	31	2003	2006
233	Satin Trans-Bright Green	7fe15b	Satin	11	18	161	13	2021	2025
229	Satin Trans-Brown	939484	Satin	7	12	140	12	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	25	111	207	29	2020	2025
232	Satin Trans-Dark Blue	1552e2	Satin	16	39	163	21	2021	2025
224	Satin Trans-Dark Pink	CE1d9b	Satin	20	51	135	18	2020	2025
223	Satin Trans-Light Blue	68BCC5	Satin	54	144	246	64	2020	2025
230	Satin Trans-Purple	8320B7	Satin	19	59	168	20	2020	2025
170	Satin Trans-Yellow	EBF72D	Satin	3	6	33	4	2024	2025
250	Metallic Copper	C58259	Metallic	6	14	324	9	2007	2012
65	Metallic Gold	B8860B	Metallic	122	351	1285	220	1997	2025
70	Metallic Green	bdb573	Metallic	31	10	471	37	2001	2005
67	Metallic Silver	C0C0C0	Metallic	209	807	2229	276	1957	2025
46	Glow In Dark Opaque	d4d5c9	Milky	89	89	473	103	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	17	23	372	20	2005	2011
159	Glow In Dark White	d9d9d9	Milky	87	112	720	101	2011	2025
60	Milky White	d4d3dd	Milky	26	146	621	67	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	33	183	21	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	40	166	18	1999	2024
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	29	187	29	2015	2024
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	151	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	129	3	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	16	66	187	20	2000	2024
116	Speckle Black-Copper	5F4E47	Speckle	5	3	239	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	209	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	226	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	212	9	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	14		
128	Mx Black	000000	Modulex			313	229		
132	Mx Brown	907450	Modulex			31	28		
133	Mx Buff	DEC69C	Modulex			39	40		
126	Mx Charcoal Gray	595D60	Modulex			16	3		
149	Mx Clear	FFFFFF	Modulex			56	40		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			5	1		
212	Mx Foil Dark Green	006400	Modulex			4			
215	Mx Foil Light Blue	68AECE	Modulex			3			
211	Mx Foil Light Gray	9C9C9C	Modulex			5			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			3			
139	Mx Lemon	BDC618	Modulex			22	25		
124	Mx Light Bluish Gray	AfB5C7	Modulex			23	4		
125	Mx Light Gray	9C9C9C	Modulex			63	58		
136	Mx Light Orange	F7AD63	Modulex			17	7		
137	Mx Light Yellow	FFE371	Modulex			20	16		
144	Mx Medium Blue	61AFFF	Modulex			19	10		
138	Mx Ochre Yellow	FED557	Modulex			21	20		
140	Mx Olive Green	7C9051	Modulex			23	21		
135	Mx Orange	F47B30	Modulex			28	26		
145	Mx Pastel Blue	68AECE	Modulex			24	23		
141	Mx Pastel Green	7DB538	Modulex			31	35		
148	Mx Pink	F785B1	Modulex			23	24		
130	Mx Pink Red	F45C40	Modulex			15	8		
129	Mx Red	B52C20	Modulex			29	28		
146	Mx Teal Blue	467083	Modulex			14	15		
134	Mx Terracotta	5C5030	Modulex			30	38		
143	Mx Tile Blue	0057A6	Modulex			85	1		
131	Mx Tile Brown	330000	Modulex			172	3		
127	Mx Tile Gray	6B5A5A	Modulex			227	1		
147	Mx Violet	BD7D85	Modulex			22	8		
123	Mx White	FFFFFF	Modulex			753	484		
